id,title,severity,cvss_score,endpoint,timestamp,file
vuln-0016,UNION-Based SQL Injection in GET /wines/{id} Path Parameter (Unauthenticated Full Database Read),HIGH,7.5,/wines/{id},2026-07-20 11:58:55 UTC,vulnerabilities/vuln-0016-description-union-based-sql-injection-in-get-wines-id-path-parameter-una.md
vuln-0017,Unauthenticated Blind Boolean-Based SQL Injection in GET /wines `search` Parameter,HIGH,7.5,/wines,2026-07-20 12:04:39 UTC,vulnerabilities/vuln-0017-description-unauthenticated-blind-boolean-based-sql-injection-in-get-win.md
vuln-0021,"SSRF and Arbitrary Local File Read via POST /wines/import-url (""url"" body parameter)",HIGH,8.5,/wines/import-url,2026-07-20 12:29:30 UTC,vulnerabilities/vuln-0021-description-ssrf-and-arbitrary-local-file-read-via-post-wines-import-url.md
vuln-0001,"Origin Stack Version Disclosure (nginx/1.28.3, PHP/8.2.31, Next.js) via Default 404 Body and X-Powered-By Headers",MEDIUM,5.3,/_next/static/chunks/*,2026-07-20 11:42:15 UTC,vulnerabilities/vuln-0001-description-origin-stack-version-disclosure-nginx-1-28-3-php-8-2-31-next.md
vuln-0010,Business Logic: Authenticated user can create durable orders with negative totals via unbounded PUT /cart/update combined with negative-priced catalog items,MEDIUM,6.5,/orders,2026-07-20 11:50:36 UTC,vulnerabilities/vuln-0010-description-business-logic-authenticated-user-can-create-durable-orders-.md
vuln-0011,Horizontal IDOR on PUT /auth/profile via body user_id override — attacker can rewrite any user's display name,MEDIUM,5.0,/auth/profile,2026-07-20 11:50:52 UTC,vulnerabilities/vuln-0011-description-horizontal-idor-on-put-auth-profile-via-body-user-id-overrid.md
vuln-0014,Missing HTTP Security Response Headers on taintedport.com and api.taintedport.com (Clickjacking-Exploitable),MEDIUM,5.4,"All tested routes (frontend: /, /login, /admin, /checkout, /account; API: /wines, /wines/{id}, /auth/me)",2026-07-20 11:57:16 UTC,vulnerabilities/vuln-0014-description-missing-http-security-response-headers-on-taintedport-com-an.md
vuln-0018,Stateless JWTs Not Invalidated on Password or Email Change — Stolen Tokens Survive Credential Rotation (CWE-613),MEDIUM,4.8,/auth/password,2026-07-20 12:08:27 UTC,vulnerabilities/vuln-0018-description-stateless-jwts-not-invalidated-on-password-or-email-change-s.md
vuln-0019,Missing Quantity Validation on PUT /cart/update Allows Arbitrary Cart Total Manipulation,MEDIUM,4.3,/cart/update,2026-07-20 12:12:32 UTC,vulnerabilities/vuln-0019-description-missing-quantity-validation-on-put-cart-update-allows-arbitr.md
vuln-0020,Missing Anti-Automation on /auth/login Combined with Account Enumeration via Timing and Registration Oracles,MEDIUM,6.5,/auth/login,2026-07-20 12:13:55 UTC,vulnerabilities/vuln-0020-description-missing-anti-automation-on-auth-login-combined-with-account-.md
vuln-0004,CORS Misconfiguration — Arbitrary Origin Reflected with Allow-Credentials on Both API Hosts,LOW,3.1,"/* (all paths on both API mount points, including preflight)",2026-07-20 11:45:05 UTC,vulnerabilities/vuln-0004-description-cors-misconfiguration-arbitrary-origin-reflected-with-allow-.md
